line: 0; - real tweet; 81.822115% confidence 
line: 148; - real tweet; 89.456999% confidence 
line: 150; - fake tweet; 90.645361% confidence 
line: 152; - fake tweet; 99.952292% confidence 
line: 154; - fake tweet; 99.464720% confidence 
line: 155; - fake tweet; 99.952292% confidence 
line: 166; - fake tweet; 99.190044% confidence 
line: 167; - fake tweet; 80.204195% confidence 
line: 169; - fake tweet; 56.840837% confidence 
line: 177; - fake tweet; 99.952292% confidence 
line: 179; - fake tweet; 99.104685% confidence 
line: 181; - fake tweet; 99.731427% confidence 
line: 186; - fake tweet; 96.200097% confidence 
line: 188; - fake tweet; 93.039811% confidence 
line: 189; - fake tweet; 99.984157% confidence 
line: 192; - fake tweet; 99.104685% confidence 
line: 200; - fake tweet; 88.915592% confidence 
line: 202; - fake tweet; 85.523236% confidence 
line: 206; - fake tweet; 77.266872% confidence 
line: 207; - real tweet; 95.180523% confidence 
line: 214; - fake tweet; 71.804953% confidence 
line: 217; - real tweet; 99.908602% confidence 
line: 223; - fake tweet; 91.749346% confidence 
line: 224; - real tweet; 99.901700% confidence 
line: 227; - real tweet; 98.936862% confidence 
line: 228; - real tweet; 72.975802% confidence 
line: 230; - fake tweet; 96.257067% confidence 
line: 233; - real tweet; 57.942092% confidence 
line: 234; - real tweet; 99.984014% confidence 
line: 236; - real tweet; 99.979550% confidence 
line: 239; - real tweet; 99.984014% confidence 
line: 250; - real tweet; 72.905368% confidence 
line: 255; - fake tweet; 89.316213% confidence 
line: 257; - fake tweet; 99.468011% confidence 
line: 259; - real tweet; 54.676026% confidence 
line: 275; - fake tweet; 90.645361% confidence 
line: 278; - fake tweet; 89.612418% confidence 
line: 282; - fake tweet; 63.281542% confidence 
line: 284; - fake tweet; 95.257241% confidence 
line: 286; - real tweet; 68.675691% confidence 
line: 288; - real tweet; 99.988651% confidence 
line: 292; - fake tweet; 90.645361% confidence 
line: 295; - fake tweet; 92.680943% confidence 
line: 300; - fake tweet; 84.127587% confidence 
line: 304; - real tweet; 99.298310% confidence 
line: 305; - real tweet; 99.298310% confidence 
line: 306; - fake tweet; 97.366333% confidence 
line: 308; - fake tweet; 99.103081% confidence 
line: 311; - fake tweet; 94.020903% confidence 
line: 317; - fake tweet; 93.225658% confidence 
line: 319; - fake tweet; 53.161097% confidence 
line: 323; - fake tweet; 98.196191% confidence 
line: 324; - fake tweet; 99.450845% confidence 
line: 325; - fake tweet; 97.909832% confidence 
line: 326; - real tweet; 79.791421% confidence 
line: 333; - fake tweet; 97.717559% confidence 
line: 339; - fake tweet; 97.085088% confidence 
line: 342; - fake tweet; 90.645361% confidence 
line: 343; - fake tweet; 90.645361% confidence 
line: 350; - fake tweet; 87.406427% confidence 
line: 351; - fake tweet; 80.271536% confidence 
line: 357; - fake tweet; 90.645361% confidence 
line: 359; - fake tweet; 60.623997% confidence 
line: 362; - fake tweet; 74.254274% confidence 
line: 366; - fake tweet; 97.243148% confidence 
line: 367; - fake tweet; 90.645361% confidence 
line: 369; - fake tweet; 60.623997% confidence 
line: 373; - fake tweet; 85.523236% confidence 
line: 374; - fake tweet; 56.940001% confidence 
line: 376; - fake tweet; 70.136446% confidence 
line: 377; - fake tweet; 60.623997% confidence 
line: 378; - fake tweet; 60.623997% confidence 
line: 379; - fake tweet; 90.645361% confidence 
line: 382; - real tweet; 56.679761% confidence 
line: 385; - real tweet; 56.679761% confidence 
line: 387; - fake tweet; 68.521279% confidence 
line: 388; - fake tweet; 60.623997% confidence 
line: 391; - fake tweet; 94.568127% confidence 
line: 392; - fake tweet; 60.623997% confidence 
line: 395; - fake tweet; 60.623997% confidence 
line: 399; - fake tweet; 90.645361% confidence 
line: 400; - fake tweet; 98.887593% confidence 
line: 403; - fake tweet; 90.645361% confidence 
line: 405; - fake tweet; 90.645361% confidence 
line: 408; - fake tweet; 95.614403% confidence 
line: 411; - fake tweet; 98.706323% confidence 
line: 414; - fake tweet; 90.645361% confidence 
line: 416; - fake tweet; 97.112221% confidence 
line: 417; - real tweet; 89.588660% confidence 
line: 422; - fake tweet; 98.247737% confidence 
line: 425; - fake tweet; 99.664682% confidence 
line: 428; - fake tweet; 91.571105% confidence 
line: 430; - fake tweet; 94.029105% confidence 
line: 431; - fake tweet; 99.334925% confidence 
line: 433; - fake tweet; 80.204195% confidence 
line: 434; - fake tweet; 99.900335% confidence 
line: 439; - fake tweet; 99.231696% confidence 
line: 441; - fake tweet; 99.907458% confidence 
line: 449; - fake tweet; 92.733097% confidence 
line: 458; - fake tweet; 97.918838% confidence 
line: 460; - fake tweet; 97.581553% confidence 
line: 464; - fake tweet; 89.312911% confidence 
line: 473; - fake tweet; 82.941622% confidence 
line: 488; - fake tweet; 99.815971% confidence 
line: 491; - fake tweet; 98.843175% confidence 
line: 494; - real tweet; 96.911961% confidence 
line: 497; - fake tweet; 99.669039% confidence 
line: 500; - real tweet; 61.384737% confidence 
line: 505; - fake tweet; 95.785910% confidence 
line: 507; - fake tweet; 98.508400% confidence 
line: 508; - fake tweet; 99.303061% confidence 
line: 510; - fake tweet; 99.062526% confidence 
line: 511; - fake tweet; 99.141592% confidence 
line: 515; - real tweet; 95.607263% confidence 
line: 525; - fake tweet; 90.645361% confidence 
line: 529; - fake tweet; 95.785910% confidence 
line: 532; - fake tweet; 95.785910% confidence 
line: 534; - fake tweet; 95.785910% confidence 
line: 537; - fake tweet; 90.645361% confidence 
line: 539; - fake tweet; 87.619054% confidence 
line: 541; - fake tweet; 95.785910% confidence 
line: 545; - fake tweet; 95.880270% confidence 
line: 547; - real tweet; 86.498952% confidence 
line: 548; - fake tweet; 80.204195% confidence 
line: 549; - real tweet; 99.781656% confidence 
line: 553; - fake tweet; 90.645361% confidence 
line: 554; - fake tweet; 90.607411% confidence 
line: 555; - real tweet; 90.415692% confidence 
line: 557; - fake tweet; 94.898707% confidence 
line: 562; - fake tweet; 90.645361% confidence 
line: 566; - fake tweet; 90.645361% confidence 
line: 572; - fake tweet; 77.227664% confidence 
line: 573; - real tweet; 74.661821% confidence 
line: 582; - fake tweet; 90.645361% confidence 
line: 586; - fake tweet; 61.900628% confidence 
line: 587; - fake tweet; 86.868429% confidence 
line: 590; - real tweet; 99.849093% confidence 
line: 591; - fake tweet; 67.223722% confidence 
line: 593; - fake tweet; 60.522181% confidence 
line: 595; - real tweet; 92.411339% confidence 
line: 596; - fake tweet; 95.050246% confidence 
line: 597; - fake tweet; 96.257144% confidence 
line: 601; - fake tweet; 92.571992% confidence 
line: 602; - fake tweet; 82.985431% confidence 
line: 605; - real tweet; 99.187803% confidence 
line: 610; - fake tweet; 79.384637% confidence 
line: 616; - fake tweet; 91.319317% confidence 
line: 618; - fake tweet; 79.238808% confidence 
line: 620; - real tweet; 99.596524% confidence 
line: 626; - fake tweet; 71.715647% confidence 
line: 627; - fake tweet; 99.634004% confidence 
line: 629; - fake tweet; 93.850225% confidence 
line: 632; - fake tweet; 73.952979% confidence 
line: 634; - fake tweet; 75.205380% confidence 
line: 639; - fake tweet; 88.536441% confidence 
line: 645; - real tweet; 99.646580% confidence 
line: 647; - real tweet; 97.422767% confidence 
line: 648; - fake tweet; 95.086664% confidence 
line: 650; - real tweet; 90.187955% confidence 
line: 663; - fake tweet; 91.568446% confidence 
line: 666; - real tweet; 76.155502% confidence 
line: 668; - fake tweet; 75.356805% confidence 
line: 670; - fake tweet; 91.283208% confidence 
line: 673; - real tweet; 99.747759% confidence 
line: 676; - fake tweet; 77.819222% confidence 
line: 678; - fake tweet; 90.064991% confidence 
line: 692; - fake tweet; 91.588408% confidence 
line: 693; - real tweet; 69.752938% confidence 
line: 694; - fake tweet; 93.010688% confidence 
line: 695; - real tweet; 78.211635% confidence 
line: 696; - fake tweet; 94.568127% confidence 
line: 698; - fake tweet; 95.485526% confidence 
line: 701; - fake tweet; 99.911636% confidence 
line: 703; - real tweet; 99.969816% confidence 
line: 707; - fake tweet; 85.523236% confidence 
line: 708; - real tweet; 97.210705% confidence 
line: 711; - real tweet; 99.969816% confidence 
line: 715; - fake tweet; 90.645361% confidence 
line: 718; - fake tweet; 84.939700% confidence 
line: 722; - fake tweet; 63.616985% confidence 
line: 723; - fake tweet; 90.645361% confidence 
line: 733; - real tweet; 99.969816% confidence 
line: 741; - fake tweet; 90.645361% confidence 
line: 742; - real tweet; 99.969816% confidence 
line: 743; - fake tweet; 90.645361% confidence 
line: 747; - fake tweet; 92.680943% confidence 
line: 749; - fake tweet; 95.611829% confidence 
line: 750; - fake tweet; 98.923510% confidence 
line: 756; - fake tweet; 99.763501% confidence 
line: 757; - fake tweet; 93.221223% confidence 
line: 760; - fake tweet; 99.584007% confidence 
line: 764; - fake tweet; 90.645361% confidence 
line: 765; - fake tweet; 62.863791% confidence 
line: 766; - fake tweet; 79.903674% confidence 
line: 768; - fake tweet; 92.077053% confidence 
line: 769; - fake tweet; 99.032307% confidence 
line: 771; - fake tweet; 99.347043% confidence 
line: 772; - fake tweet; 97.056043% confidence 
line: 776; - fake tweet; 99.347043% confidence 
line: 778; - fake tweet; 97.577578% confidence 
line: 780; - fake tweet; 92.077053% confidence 
line: 785; - fake tweet; 98.641104% confidence 
line: 789; - fake tweet; 98.504817% confidence 
line: 792; - fake tweet; 96.127176% confidence 
line: 793; - fake tweet; 99.486601% confidence 
line: 811; - fake tweet; 55.406964% confidence 
line: 813; - fake tweet; 56.840837% confidence 
line: 816; - fake tweet; 90.645361% confidence 
line: 821; - fake tweet; 81.024867% confidence 
line: 824; - fake tweet; 95.203251% confidence 
line: 825; - fake tweet; 92.084378% confidence 
line: 827; - fake tweet; 99.576122% confidence 
line: 830; - real tweet; 86.673784% confidence 
line: 831; - real tweet; 87.972921% confidence 
line: 839; - real tweet; 87.972921% confidence 
line: 844; - fake tweet; 95.360655% confidence 
line: 847; - real tweet; 91.684908% confidence 
line: 850; - fake tweet; 86.555916% confidence 
line: 854; - real tweet; 91.684908% confidence 
line: 855; - fake tweet; 90.645361% confidence 
line: 858; - fake tweet; 93.542105% confidence 
line: 861; - fake tweet; 90.645361% confidence 
line: 862; - fake tweet; 86.682475% confidence 
line: 865; - fake tweet; 88.742089% confidence 
line: 869; - real tweet; 93.421710% confidence 
line: 879; - real tweet; 53.019488% confidence 
line: 880; - real tweet; 97.041613% confidence 
line: 887; - fake tweet; 98.803186% confidence 
line: 889; - real tweet; 99.303812% confidence 
line: 897; - fake tweet; 74.202847% confidence 
line: 900; - fake tweet; 91.606170% confidence 
line: 901; - real tweet; 73.812515% confidence 
line: 904; - fake tweet; 58.504266% confidence 
line: 908; - fake tweet; 67.865920% confidence 
line: 909; - fake tweet; 67.865920% confidence 
line: 910; - real tweet; 99.303812% confidence 
line: 913; - fake tweet; 80.048645% confidence 
line: 914; - fake tweet; 79.188710% confidence 
line: 917; - real tweet; 85.808027% confidence 
line: 918; - fake tweet; 90.997183% confidence 
line: 920; - fake tweet; 78.286862% confidence 
line: 922; - real tweet; 73.181021% confidence 
line: 924; - real tweet; 73.181021% confidence 
line: 925; - fake tweet; 98.621887% confidence 
line: 927; - fake tweet; 84.758532% confidence 
line: 933; - fake tweet; 96.372020% confidence 
line: 937; - fake tweet; 93.515462% confidence 
line: 943; - fake tweet; 55.635804% confidence 
line: 949; - fake tweet; 87.929583% confidence 
line: 950; - real tweet; 68.837035% confidence 
line: 954; - fake tweet; 96.204662% confidence 
line: 966; - fake tweet; 90.645361% confidence 
line: 967; - fake tweet; 93.207753% confidence 
line: 969; - fake tweet; 73.952979% confidence 
line: 970; - fake tweet; 92.680943% confidence 
line: 973; - fake tweet; 80.204195% confidence 
line: 975; - fake tweet; 93.804342% confidence 
line: 980; - fake tweet; 90.645361% confidence 
line: 988; - fake tweet; 99.648762% confidence 
line: 989; - fake tweet; 99.317729% confidence 
line: 995; - fake tweet; 85.523236% confidence 
line: 1000; - fake tweet; 99.906582% confidence 
line: 1003; - fake tweet; 98.798662% confidence 
line: 1007; - fake tweet; 98.872733% confidence 
line: 1011; - fake tweet; 94.549471% confidence 
line: 1012; - fake tweet; 80.204195% confidence 
line: 1013; - fake tweet; 87.765104% confidence 
line: 1014; - fake tweet; 93.039811% confidence 
line: 1016; - real tweet; 99.838126% confidence 
line: 1019; - fake tweet; 94.568127% confidence 
line: 1025; - fake tweet; 90.645361% confidence 
line: 1027; - fake tweet; 94.549471% confidence 
line: 1028; - fake tweet; 73.952979% confidence 
line: 1030; - fake tweet; 94.568127% confidence 
line: 1033; - fake tweet; 52.916920% confidence 
line: 1034; - fake tweet; 52.832842% confidence 
line: 1039; - fake tweet; 99.204952% confidence 
line: 1046; - fake tweet; 93.039811% confidence 
line: 1047; - fake tweet; 97.707611% confidence 
line: 1053; - fake tweet; 90.645361% confidence 
line: 1055; - fake tweet; 93.780077% confidence 
line: 1056; - fake tweet; 90.645361% confidence 
line: 1059; - fake tweet; 77.439153% confidence 
line: 1060; - fake tweet; 98.344791% confidence 
line: 1063; - fake tweet; 96.559662% confidence 
line: 1064; - fake tweet; 96.946859% confidence 
line: 1068; - fake tweet; 99.291950% confidence 
line: 1076; - fake tweet; 88.854522% confidence 
line: 1086; - fake tweet; 89.993906% confidence 
line: 1087; - fake tweet; 90.645361% confidence 
line: 1089; - fake tweet; 99.534756% confidence 
line: 1092; - fake tweet; 96.476448% confidence 
line: 1095; - fake tweet; 97.290546% confidence 
line: 1096; - fake tweet; 98.933053% confidence 
line: 1097; - fake tweet; 99.137622% confidence 
line: 1100; - fake tweet; 98.781270% confidence 
line: 1101; - fake tweet; 97.995293% confidence 
line: 1107; - fake tweet; 96.203429% confidence 
line: 1108; - fake tweet; 99.509227% confidence 
line: 1111; - fake tweet; 84.633416% confidence 
line: 1115; - fake tweet; 92.979079% confidence 
line: 1116; - fake tweet; 97.565752% confidence 
line: 1121; - fake tweet; 99.560934% confidence 
line: 1125; - fake tweet; 98.533195% confidence 
line: 1127; - fake tweet; 91.793483% confidence 
line: 1131; - fake tweet; 99.140364% confidence 
line: 1133; - fake tweet; 92.295825% confidence 
line: 1135; - fake tweet; 90.645361% confidence 
line: 1137; - fake tweet; 90.645361% confidence 
line: 1140; - fake tweet; 82.508945% confidence 
line: 1144; - fake tweet; 90.645361% confidence 
line: 1147; - fake tweet; 90.645361% confidence 
line: 1148; - fake tweet; 90.645361% confidence 
line: 1150; - fake tweet; 90.645361% confidence 
line: 1158; - fake tweet; 99.576747% confidence 
line: 1159; - fake tweet; 93.039811% confidence 
line: 1161; - fake tweet; 98.533577% confidence 
line: 1163; - fake tweet; 99.647921% confidence 
line: 1165; - fake tweet; 98.785388% confidence 
line: 1169; - fake tweet; 93.713850% confidence 
line: 1171; - fake tweet; 99.623007% confidence 
line: 1172; - fake tweet; 73.067629% confidence 
line: 1176; - fake tweet; 92.769068% confidence 
line: 1180; - fake tweet; 81.687200% confidence 
line: 1184; - fake tweet; 93.276399% confidence 
line: 1186; - fake tweet; 58.788240% confidence 
line: 1187; - fake tweet; 99.675339% confidence 
line: 1192; - fake tweet; 99.385720% confidence 
line: 1193; - fake tweet; 74.158561% confidence 
line: 1194; - fake tweet; 93.452567% confidence 
line: 1197; - real tweet; 51.357186% confidence 
line: 1200; - fake tweet; 97.442055% confidence 
line: 1205; - fake tweet; 89.723575% confidence 
line: 1210; - fake tweet; 97.805619% confidence 
line: 1216; - fake tweet; 99.252158% confidence 
line: 1220; - fake tweet; 93.983859% confidence 
line: 1231; - fake tweet; 98.642552% confidence 
line: 1233; - fake tweet; 90.645361% confidence 
line: 1246; - fake tweet; 97.282302% confidence 
line: 1247; - fake tweet; 92.533493% confidence 
line: 1248; - fake tweet; 99.026942% confidence 
line: 1255; - fake tweet; 92.374289% confidence 
line: 1256; - fake tweet; 93.515462% confidence 
line: 1257; - fake tweet; 84.680110% confidence 
line: 1258; - fake tweet; 90.645361% confidence 
line: 1260; - real tweet; 90.849358% confidence 
line: 1261; - fake tweet; 99.231344% confidence 
line: 1265; - fake tweet; 76.391733% confidence 
line: 1266; - fake tweet; 95.385247% confidence 
line: 1268; - fake tweet; 94.590551% confidence 
line: 1274; - fake tweet; 99.347657% confidence 
line: 1281; - fake tweet; 99.251819% confidence 
line: 1285; - fake tweet; 98.581702% confidence 
line: 1286; - fake tweet; 97.286427% confidence 
line: 1291; - fake tweet; 96.932036% confidence 
line: 1292; - fake tweet; 94.759667% confidence 
line: 1295; - fake tweet; 99.610800% confidence 
line: 1299; - fake tweet; 99.531484% confidence 
line: 1306; - fake tweet; 94.785613% confidence 
line: 1310; - fake tweet; 99.041814% confidence 
line: 1311; - fake tweet; 99.969327% confidence 
line: 1313; - fake tweet; 99.769336% confidence 
line: 1314; - fake tweet; 99.463636% confidence 
line: 1322; - fake tweet; 99.870253% confidence 
line: 1323; - real tweet; 58.320010% confidence 
line: 1325; - fake tweet; 99.949110% confidence 
line: 1329; - real tweet; 72.474450% confidence 
line: 1330; - fake tweet; 97.156233% confidence 
line: 1333; - fake tweet; 99.124593% confidence 
line: 1336; - fake tweet; 99.092746% confidence 
line: 1339; - fake tweet; 97.104061% confidence 
line: 1342; - fake tweet; 93.515462% confidence 
line: 1344; - fake tweet; 94.620502% confidence 
line: 1355; - fake tweet; 94.898707% confidence 
line: 1357; - fake tweet; 98.403358% confidence 
line: 1358; - fake tweet; 58.722353% confidence 
line: 1359; - fake tweet; 98.771173% confidence 
line: 1364; - fake tweet; 80.204195% confidence 
line: 1366; - fake tweet; 68.695527% confidence 
line: 1367; - fake tweet; 98.851264% confidence 
line: 1370; - real tweet; 96.105862% confidence 
line: 1373; - fake tweet; 97.031319% confidence 
line: 1377; - fake tweet; 96.599793% confidence 
line: 1386; - fake tweet; 98.553884% confidence 
line: 1387; - fake tweet; 99.073279% confidence 
line: 1392; - fake tweet; 96.139038% confidence 
line: 1397; - fake tweet; 99.990475% confidence 
line: 1398; - fake tweet; 94.010842% confidence 
line: 1400; - fake tweet; 99.841452% confidence 
line: 1403; - fake tweet; 95.870680% confidence 
line: 1404; - fake tweet; 99.502289% confidence 
line: 1410; - fake tweet; 99.231839% confidence 
line: 1413; - fake tweet; 94.010842% confidence 
line: 1416; - fake tweet; 97.393382% confidence 
line: 1417; - fake tweet; 99.715912% confidence 
line: 1423; - fake tweet; 96.581018% confidence 
line: 1424; - fake tweet; 96.858841% confidence 
line: 1426; - fake tweet; 98.096496% confidence 
line: 1427; - fake tweet; 90.645361% confidence 
line: 1428; - fake tweet; 99.575186% confidence 
line: 1430; - fake tweet; 50.267816% confidence 
line: 1434; - fake tweet; 97.905892% confidence 
line: 1435; - fake tweet; 88.751358% confidence 
line: 1437; - fake tweet; 90.645361% confidence 
line: 1438; - fake tweet; 90.645361% confidence 
line: 1442; - fake tweet; 82.599235% confidence 
line: 1446; - fake tweet; 79.115927% confidence 
line: 1451; - fake tweet; 96.432263% confidence 
line: 1457; - fake tweet; 54.703802% confidence 
line: 1461; - fake tweet; 87.491244% confidence 
line: 1462; - fake tweet; 87.168062% confidence 
line: 1465; - fake tweet; 80.204195% confidence 
line: 1468; - fake tweet; 99.851376% confidence 
line: 1469; - fake tweet; 92.680943% confidence 
line: 1471; - fake tweet; 84.076536% confidence 
line: 1476; - fake tweet; 85.940909% confidence 
line: 1478; - fake tweet; 97.477990% confidence 
line: 1481; - fake tweet; 99.086374% confidence 
line: 1489; - fake tweet; 90.645361% confidence 
line: 1490; - fake tweet; 99.085087% confidence 
line: 1492; - fake tweet; 96.975178% confidence 
line: 1496; - fake tweet; 99.890935% confidence 
line: 1512; - fake tweet; 69.644588% confidence 
line: 1516; - fake tweet; 94.237643% confidence 
line: 1517; - fake tweet; 98.866218% confidence 
line: 1528; - fake tweet; 99.901617% confidence 
line: 1529; - fake tweet; 90.645361% confidence 
line: 1536; - real tweet; 99.979371% confidence 
line: 1539; - fake tweet; 94.098169% confidence 
line: 1541; - fake tweet; 90.645361% confidence 
line: 1542; - fake tweet; 85.523236% confidence 
line: 1548; - real tweet; 99.621707% confidence 
line: 1550; - fake tweet; 90.645361% confidence 
line: 1551; - fake tweet; 90.168142% confidence 
line: 1552; - real tweet; 99.250531% confidence 
line: 1557; - real tweet; 99.471420% confidence 
line: 1563; - fake tweet; 92.680943% confidence 
line: 1564; - fake tweet; 98.989105% confidence 
line: 1565; - fake tweet; 86.442101% confidence 
line: 1566; - fake tweet; 92.680943% confidence 
line: 1571; - fake tweet; 62.753135% confidence 
line: 1578; - fake tweet; 99.612480% confidence 
line: 1581; - fake tweet; 95.253217% confidence 
line: 1583; - fake tweet; 64.666945% confidence 
line: 1584; - fake tweet; 63.379216% confidence 
line: 1586; - real tweet; 99.890733% confidence 
line: 1589; - fake tweet; 55.588883% confidence 
line: 1592; - real tweet; 97.093493% confidence 
line: 1598; - fake tweet; 90.645361% confidence 
line: 1606; - fake tweet; 99.068743% confidence 
line: 1612; - fake tweet; 90.645361% confidence 
line: 1616; - fake tweet; 78.875923% confidence 
line: 1620; - fake tweet; 93.457085% confidence 
line: 1624; - fake tweet; 96.188527% confidence 
line: 1629; - real tweet; 99.956757% confidence 
line: 1630; - real tweet; 56.176203% confidence 
line: 1635; - real tweet; 99.983871% confidence 
line: 1640; - real tweet; 99.984062% confidence 
line: 1641; - real tweet; 99.990523% confidence 
line: 1642; - real tweet; 99.811953% confidence 
line: 1651; - real tweet; 99.914861% confidence 
line: 1655; - real tweet; 99.990475% confidence 
line: 1656; - real tweet; 99.975735% confidence 
line: 1659; - fake tweet; 93.039811% confidence 
line: 1664; - real tweet; 99.989235% confidence 
line: 1667; - real tweet; 99.991131% confidence 
line: 1668; - real tweet; 99.987423% confidence 
line: 1674; - fake tweet; 98.380858% confidence 
line: 1678; - fake tweet; 98.473465% confidence 
line: 1680; - real tweet; 99.564469% confidence 
line: 1681; - real tweet; 99.493200% confidence 
line: 1682; - real tweet; 96.295053% confidence 
line: 1685; - real tweet; 86.699873% confidence 
line: 1695; - real tweet; 99.823111% confidence 
line: 1696; - real tweet; 77.738887% confidence 
line: 1697; - fake tweet; 81.875354% confidence 
line: 1704; - real tweet; 85.745275% confidence 
line: 1708; - fake tweet; 79.238808% confidence 
line: 1711; - real tweet; 99.945563% confidence 
line: 1713; - real tweet; 95.132846% confidence 
line: 1714; - real tweet; 76.930064% confidence 
line: 1717; - real tweet; 95.020247% confidence 
line: 1729; - fake tweet; 93.039811% confidence 
line: 1730; - fake tweet; 82.715523% confidence 
line: 1732; - real tweet; 88.558114% confidence 
line: 1734; - real tweet; 96.868706% confidence 
line: 1736; - fake tweet; 94.670284% confidence 
line: 1738; - real tweet; 81.963271% confidence 
line: 1742; - fake tweet; 87.438953% confidence 
line: 1743; - real tweet; 65.407604% confidence 
line: 1746; - fake tweet; 98.656195% confidence 
line: 1748; - real tweet; 98.107600% confidence 
line: 1749; - real tweet; 85.614020% confidence 
line: 1751; - fake tweet; 59.880257% confidence 
line: 1758; - fake tweet; 98.157954% confidence 
line: 1764; - fake tweet; 80.204195% confidence 
line: 1765; - fake tweet; 89.621538% confidence 
line: 1777; - real tweet; 97.793967% confidence 
line: 1778; - fake tweet; 90.645361% confidence 
line: 1781; - fake tweet; 58.888036% confidence 
line: 1782; - real tweet; 75.214291% confidence 
line: 1783; - real tweet; 98.061037% confidence 
line: 1785; - real tweet; 90.731084% confidence 
line: 1788; - real tweet; 76.760888% confidence 
line: 1793; - fake tweet; 90.645361% confidence 
line: 1794; - fake tweet; 90.645361% confidence 
line: 1795; - real tweet; 89.187664% confidence 
line: 1797; - real tweet; 71.858394% confidence 
line: 1800; - real tweet; 99.937159% confidence 
line: 1801; - real tweet; 96.884984% confidence 
line: 1805; - real tweet; 98.884690% confidence 
line: 1806; - fake tweet; 90.645361% confidence 
line: 1819; - fake tweet; 56.068200% confidence 
line: 1820; - fake tweet; 90.645361% confidence 
line: 1825; - fake tweet; 90.645361% confidence 
line: 1828; - fake tweet; 97.583538% confidence 
line: 1829; - fake tweet; 96.136153% confidence 
line: 1830; - fake tweet; 71.804953% confidence 
line: 1839; - real tweet; 58.661377% confidence 
line: 1843; - fake tweet; 97.292781% confidence 
line: 1844; - fake tweet; 99.805331% confidence 
line: 1846; - fake tweet; 75.542849% confidence 
line: 1849; - fake tweet; 88.017064% confidence 
line: 1850; - fake tweet; 88.264382% confidence 
line: 1854; - fake tweet; 90.645361% confidence 
line: 1855; - fake tweet; 56.840837% confidence 
line: 1858; - fake tweet; 93.804342% confidence 
line: 1859; - fake tweet; 90.645361% confidence 
line: 1862; - fake tweet; 85.523236% confidence 
line: 1867; - fake tweet; 98.761809% confidence 
line: 1868; - fake tweet; 97.262019% confidence 
line: 1871; - fake tweet; 54.420000% confidence 
line: 1872; - fake tweet; 80.204195% confidence 
line: 1874; - fake tweet; 60.339630% confidence 
line: 1876; - real tweet; 83.702284% confidence 
line: 1879; - fake tweet; 71.014792% confidence 
line: 1884; - real tweet; 92.389715% confidence 
line: 1891; - fake tweet; 95.973325% confidence 
line: 1894; - fake tweet; 98.496693% confidence 
line: 1896; - fake tweet; 85.560238% confidence 
line: 1902; - fake tweet; 94.986087% confidence 
line: 1903; - fake tweet; 99.688679% confidence 
line: 1904; - fake tweet; 90.645361% confidence 
line: 1906; - real tweet; 68.012297% confidence 
line: 1907; - fake tweet; 70.790601% confidence 
line: 1912; - fake tweet; 56.840837% confidence 
line: 1913; - fake tweet; 87.519288% confidence 
line: 1923; - real tweet; 91.025877% confidence 
line: 1926; - fake tweet; 71.715647% confidence 
line: 1928; - fake tweet; 90.645361% confidence 
line: 1930; - fake tweet; 80.204195% confidence 
line: 1931; - fake tweet; 90.645361% confidence 
line: 1934; - fake tweet; 95.620906% confidence 
line: 1936; - real tweet; 99.647874% confidence 
line: 1944; - fake tweet; 92.077053% confidence 
line: 1946; - real tweet; 73.497361% confidence 
